id,date,store_nbr,item_nbr,unit_sales,onpromotion
9389,2013-01-02,9,103501,19.0,
10410,2013-01-02,10,103501,8.0,
11087,2013-01-02,11,103501,13.0,
12049,2013-01-02,12,103501,7.0,
12764,2013-01-02,13,103501,13.0,
13413,2013-01-02,14,103501,4.0,
14097,2013-01-02,15,103501,9.0,
14812,2013-01-02,16,103501,13.0,
15531,2013-01-02,17,103501,14.0,
16280,2013-01-02,18,103501,4.0,
17215,2013-01-02,19,103501,6.0,
22333,2013-01-02,28,103501,12.0,
23150,2013-01-02,30,103501,3.0,
23739,2013-01-02,31,103501,8.0,
24529,2013-01-02,32,103501,1.0,
25060,2013-01-02,33,103501,12.0,
25747,2013-01-02,34,103501,5.0,
26568,2013-01-02,35,103501,2.0,
29180,2013-01-02,39,103501,6.0,
30114,2013-01-02,40,103501,13.0,
31680,2013-01-02,43,103501,3.0,
41648,2013-01-02,54,103501,10.0,
50700,2013-01-03,9,103501,5.0,
51688,2013-01-03,10,103501,7.0,
52326,2013-01-03,11,103501,10.0,
53231,2013-01-03,12,103501,7.0,
53923,2013-01-03,13,103501,2.0,
54555,2013-01-03,14,103501,16.0,
55217,2013-01-03,15,103501,9.0,
55934,2013-01-03,16,103501,11.0,
56642,2013-01-03,17,103501,8.0,
57349,2013-01-03,18,103501,5.0,
58191,2013-01-03,19,103501,2.0,
63011,2013-01-03,28,103501,4.0,
63797,2013-01-03,30,103501,6.0,
64350,2013-01-03,31,103501,8.0,
65120,2013-01-03,32,103501,2.0,
65635,2013-01-03,33,103501,11.0,
66323,2013-01-03,34,103501,3.0,
67143,2013-01-03,35,103501,6.0,
69705,2013-01-03,39,103501,7.0,
70630,2013-01-03,40,103501,8.0,
72102,2013-01-03,43,103501,5.0,
81743,2013-01-03,54,103501,11.0,
90825,2013-01-04,9,103501,10.0,
91764,2013-01-04,10,103501,5.0,
92391,2013-01-04,11,103501,5.0,
93308,2013-01-04,12,103501,19.0,
93989,2013-01-04,13,103501,6.0,
94619,2013-01-04,14,103501,8.0,
95304,2013-01-04,15,103501,6.0,
95998,2013-01-04,16,103501,11.0,
96665,2013-01-04,17,103501,11.0,
97380,2013-01-04,18,103501,3.0,
98175,2013-01-04,19,103501,5.0,
103081,2013-01-04,28,103501,7.0,
104284,2013-01-04,31,103501,9.0,
105086,2013-01-04,32,103501,1.0,
105559,2013-01-04,33,103501,6.0,
106242,2013-01-04,34,103501,5.0,
107054,2013-01-04,35,103501,3.0,
109601,2013-01-04,39,103501,6.0,
110485,2013-01-04,40,103501,11.0,
111937,2013-01-04,43,103501,8.0,
121834,2013-01-04,54,103501,10.0,
131261,2013-01-05,9,103501,5.0,
132291,2013-01-05,10,103501,4.0,
132979,2013-01-05,11,103501,16.0,
133944,2013-01-05,12,103501,4.0,
134657,2013-01-05,13,103501,8.0,
135335,2013-01-05,14,103501,17.0,
136054,2013-01-05,15,103501,10.0,
136786,2013-01-05,16,103501,12.0,
137515,2013-01-05,17,103501,8.0,
138276,2013-01-05,18,103501,4.0,
139181,2013-01-05,19,103501,2.0,
144429,2013-01-05,28,103501,6.0,
145326,2013-01-05,30,103501,5.0,
145928,2013-01-05,31,103501,5.0,
146726,2013-01-05,32,103501,5.0,
147247,2013-01-05,33,103501,11.0,
147954,2013-01-05,34,103501,5.0,
148791,2013-01-05,35,103501,2.0,
151487,2013-01-05,39,103501,8.0,
152458,2013-01-05,40,103501,7.0,
154041,2013-01-05,43,103501,2.0,
164324,2013-01-05,54,103501,14.0,
173423,2013-01-06,9,103501,16.0,
174438,2013-01-06,10,103501,10.0,
175116,2013-01-06,11,103501,9.0,
176053,2013-01-06,12,103501,4.0,
176778,2013-01-06,13,103501,3.0,
177439,2013-01-06,14,103501,11.0,
178101,2013-01-06,15,103501,8.0,
178791,2013-01-06,16,103501,18.0,
179540,2013-01-06,17,103501,13.0,
180295,2013-01-06,18,103501,2.0,
181215,2013-01-06,19,103501,2.0,
186313,2013-01-06,28,103501,7.0,
187224,2013-01-06,30,103501,4.0,
187819,2013-01-06,31,103501,12.0,
188681,2013-01-06,32,103501,1.0,
189230,2013-01-06,33,103501,15.0,
189972,2013-01-06,34,103501,3.0,
190787,2013-01-06,35,103501,2.0,
193425,2013-01-06,39,103501,4.0,
194395,2013-01-06,40,103501,9.0,
196039,2013-01-06,43,103501,4.0,
206180,2013-01-06,54,103501,16.0,
215119,2013-01-07,9,103501,8.0,
216042,2013-01-07,10,103501,7.0,
216665,2013-01-07,11,103501,5.0,
217540,2013-01-07,12,103501,3.0,
218211,2013-01-07,13,103501,4.0,
218835,2013-01-07,14,103501,1.0,
219497,2013-01-07,15,103501,9.0,
220192,2013-01-07,16,103501,2.0,
220863,2013-01-07,17,103501,3.0,
221579,2013-01-07,18,103501,3.0,
222399,2013-01-07,19,103501,1.0,
227102,2013-01-07,28,103501,5.0,
227856,2013-01-07,30,103501,2.0,
228425,2013-01-07,31,103501,5.0,
229193,2013-01-07,32,103501,1.0,
229707,2013-01-07,33,103501,9.0,
230386,2013-01-07,34,103501,2.0,
231206,2013-01-07,35,103501,2.0,
233645,2013-01-07,39,103501,7.0,
234509,2013-01-07,40,103501,7.0,
235937,2013-01-07,43,103501,4.0,
245537,2013-01-07,54,103501,8.0,
254390,2013-01-08,9,103501,3.0,
255346,2013-01-08,10,103501,5.0,
255975,2013-01-08,11,103501,10.0,
256871,2013-01-08,12,103501,7.0,
257541,2013-01-08,13,103501,4.0,
258820,2013-01-08,15,103501,9.0,
259489,2013-01-08,16,103501,13.0,
260853,2013-01-08,18,103501,2.0,
261649,2013-01-08,19,103501,2.0,
266353,2013-01-08,28,103501,4.0,
267138,2013-01-08,30,103501,2.0,
267689,2013-01-08,31,103501,2.0,
268450,2013-01-08,32,103501,2.0,
268949,2013-01-08,33,103501,10.0,
269603,2013-01-08,34,103501,4.0,
270423,2013-01-08,35,103501,3.0,
272815,2013-01-08,39,103501,5.0,
273698,2013-01-08,40,103501,4.0,
275191,2013-01-08,43,103501,5.0,
284704,2013-01-08,54,103501,7.0,
294598,2013-01-09,10,103501,3.0,
295215,2013-01-09,11,103501,7.0,
296075,2013-01-09,12,103501,4.0,
296724,2013-01-09,13,103501,4.0,
297322,2013-01-09,14,103501,5.0,
297991,2013-01-09,15,103501,5.0,
298633,2013-01-09,16,103501,6.0,
299326,2013-01-09,17,103501,4.0,
300024,2013-01-09,18,103501,3.0,
300801,2013-01-09,19,103501,5.0,
305514,2013-01-09,28,103501,2.0,
306205,2013-01-09,30,103501,2.0,
306737,2013-01-09,31,103501,2.0,
307433,2013-01-09,32,103501,1.0,
307905,2013-01-09,33,103501,3.0,
308564,2013-01-09,34,103501,1.0,
309381,2013-01-09,35,103501,2.0,
311851,2013-01-09,39,103501,3.0,
312655,2013-01-09,40,103501,5.0,
314096,2013-01-09,43,103501,4.0,
332479,2013-01-10,9,103501,7.0,
333403,2013-01-10,10,103501,3.0,
333998,2013-01-10,11,103501,3.0,
334878,2013-01-10,12,103501,3.0,
335555,2013-01-10,13,103501,2.0,
336176,2013-01-10,14,103501,10.0,
336811,2013-01-10,15,103501,3.0,
337462,2013-01-10,16,103501,5.0,
338121,2013-01-10,17,103501,4.0,
338803,2013-01-10,18,103501,2.0,
339629,2013-01-10,19,103501,8.0,
344269,2013-01-10,28,103501,3.0,
344980,2013-01-10,30,103501,4.0,
345518,2013-01-10,31,103501,1.0,
346745,2013-01-10,33,103501,9.0,
347376,2013-01-10,34,103501,1.0,
348143,2013-01-10,35,103501,2.0,
350527,2013-01-10,39,103501,1.0,
351360,2013-01-10,40,103501,5.0,
352725,2013-01-10,43,103501,1.0,
362088,2013-01-10,54,103501,6.0,
371082,2013-01-11,9,103501,4.0,
372003,2013-01-11,10,103501,6.0,
372591,2013-01-11,11,103501,9.0,
373436,2013-01-11,12,103501,5.0,
374085,2013-01-11,13,103501,2.0,
374698,2013-01-11,14,103501,15.0,
375338,2013-01-11,15,103501,5.0,
375992,2013-01-11,16,103501,3.0,
376650,2013-01-11,17,103501,6.0,
377339,2013-01-11,18,103501,4.0,
378093,2013-01-11,19,103501,2.0,
382924,2013-01-11,28,103501,2.0,
383595,2013-01-11,30,103501,4.0,
384120,2013-01-11,31,103501,3.0,
385345,2013-01-11,33,103501,6.0,
386016,2013-01-11,34,103501,2.0,
389269,2013-01-11,39,103501,1.0,
390123,2013-01-11,40,103501,6.0,
391571,2013-01-11,43,103501,4.0,
401328,2013-01-11,54,103501,2.0,
410621,2013-01-12,9,103501,3.0,
411640,2013-01-12,10,103501,6.0,
412321,2013-01-12,11,103501,7.0,
413264,2013-01-12,12,103501,7.0,
413968,2013-01-12,13,103501,5.0,
415373,2013-01-12,15,103501,8.0,
416080,2013-01-12,16,103501,3.0,
416800,2013-01-12,17,103501,10.0,
417566,2013-01-12,18,103501,1.0,
418423,2013-01-12,19,103501,3.0,
423692,2013-01-12,28,103501,5.0,
424502,2013-01-12,30,103501,2.0,
425078,2013-01-12,31,103501,5.0,
425907,2013-01-12,32,103501,3.0,
426432,2013-01-12,33,103501,12.0,
427161,2013-01-12,34,103501,5.0,
427993,2013-01-12,35,103501,2.0,
430715,2013-01-12,39,103501,9.0,
431685,2013-01-12,40,103501,8.0,
433258,2013-01-12,43,103501,3.0,
443459,2013-01-12,54,103501,11.0,
452600,2013-01-13,9,103501,8.0,
453620,2013-01-13,10,103501,4.0,
454305,2013-01-13,11,103501,7.0,
455240,2013-01-13,12,103501,2.0,
455933,2013-01-13,13,103501,6.0,
456570,2013-01-13,14,103501,6.0,
457247,2013-01-13,15,103501,5.0,
457933,2013-01-13,16,103501,12.0,
458695,2013-01-13,17,103501,6.0,
459459,2013-01-13,18,103501,3.0,
460368,2013-01-13,19,103501,1.0,
465589,2013-01-13,28,103501,6.0,
466524,2013-01-13,30,103501,3.0,
467152,2013-01-13,31,103501,7.0,
468001,2013-01-13,32,103501,1.0,
468551,2013-01-13,33,103501,7.0,
469284,2013-01-13,34,103501,4.0,
470094,2013-01-13,35,103501,2.0,
472681,2013-01-13,39,103501,3.0,
473640,2013-01-13,40,103501,13.0,
475311,2013-01-13,43,103501,5.0,
485554,2013-01-13,54,103501,17.0,
494529,2013-01-14,9,103501,2.0,
495491,2013-01-14,10,103501,11.0,
496107,2013-01-14,11,103501,1.0,
496953,2013-01-14,12,103501,2.0,
497619,2013-01-14,13,103501,3.0,
498239,2013-01-14,14,103501,3.0,
498911,2013-01-14,15,103501,15.0,
499592,2013-01-14,16,103501,7.0,
500270,2013-01-14,17,103501,1.0,
500977,2013-01-14,18,103501,2.0,
506631,2013-01-14,28,103501,4.0,
507402,2013-01-14,30,103501,3.0,
507989,2013-01-14,31,103501,7.0,
508754,2013-01-14,32,103501,3.0,
509244,2013-01-14,33,103501,10.0,
509921,2013-01-14,34,103501,2.0,
510704,2013-01-14,35,103501,1.0,
513125,2013-01-14,39,103501,4.0,
514004,2013-01-14,40,103501,5.0,
515476,2013-01-14,43,103501,2.0,
524988,2013-01-14,54,103501,9.0,
533888,2013-01-15,9,103501,4.0,
534857,2013-01-15,10,103501,3.0,
535490,2013-01-15,11,103501,6.0,
536338,2013-01-15,12,103501,5.0,
537006,2013-01-15,13,103501,5.0,
537620,2013-01-15,14,103501,12.0,
538274,2013-01-15,15,103501,9.0,
538943,2013-01-15,16,103501,7.0,
539636,2013-01-15,17,103501,4.0,
540353,2013-01-15,18,103501,2.0,
541177,2013-01-15,19,103501,1.0,
546026,2013-01-15,28,103501,1.0,
546818,2013-01-15,30,103501,7.0,
547414,2013-01-15,31,103501,5.0,
548227,2013-01-15,32,103501,2.0,
548744,2013-01-15,33,103501,8.0,
549440,2013-01-15,34,103501,6.0,
550246,2013-01-15,35,103501,1.0,
552727,2013-01-15,39,103501,15.0,
553605,2013-01-15,40,103501,11.0,
555079,2013-01-15,43,103501,2.0,
564621,2013-01-15,54,103501,11.0,
573859,2013-01-16,9,103501,13.0,
574816,2013-01-16,10,103501,8.0,
575393,2013-01-16,11,103501,4.0,
576250,2013-01-16,12,103501,1.0,
576898,2013-01-16,13,103501,4.0,
577484,2013-01-16,14,103501,5.0,
578113,2013-01-16,15,103501,6.0,
578788,2013-01-16,16,103501,4.0,
579449,2013-01-16,17,103501,8.0,
580163,2013-01-16,18,103501,1.0,
580995,2013-01-16,19,103501,7.0,
585915,2013-01-16,28,103501,5.0,
586710,2013-01-16,30,103501,3.0,
587285,2013-01-16,31,103501,2.0,
588011,2013-01-16,32,103501,4.0,
588501,2013-01-16,33,103501,4.0,
589216,2013-01-16,34,103501,3.0,
592533,2013-01-16,39,103501,7.0,
593371,2013-01-16,40,103501,7.0,
594871,2013-01-16,43,103501,2.0,
604763,2013-01-16,54,103501,4.0,
613563,2013-01-17,9,103501,3.0,
614500,2013-01-17,10,103501,5.0,
615079,2013-01-17,11,103501,6.0,
615948,2013-01-17,12,103501,2.0,
616604,2013-01-17,13,103501,3.0,
617181,2013-01-17,14,103501,3.0,
617833,2013-01-17,15,103501,2.0,
618496,2013-01-17,16,103501,7.0,
619173,2013-01-17,17,103501,3.0,
619878,2013-01-17,18,103501,2.0,
625465,2013-01-17,28,103501,3.0,
626270,2013-01-17,30,103501,5.0,
626850,2013-01-17,31,103501,1.0,
627604,2013-01-17,32,103501,1.0,
628118,2013-01-17,33,103501,6.0,
628804,2013-01-17,34,103501,4.0,
629644,2013-01-17,35,103501,3.0,
632006,2013-01-17,39,103501,1.0,
632867,2013-01-17,40,103501,1.0,
634341,2013-01-17,43,103501,3.0,
643901,2013-01-17,54,103501,2.0,
653960,2013-01-18,10,103501,2.0,
654544,2013-01-18,11,103501,5.0,
656058,2013-01-18,13,103501,4.0,
656655,2013-01-18,14,103501,5.0,
657275,2013-01-18,15,103501,8.0,
657950,2013-01-18,16,103501,2.0,
658641,2013-01-18,17,103501,6.0,
659329,2013-01-18,18,103501,1.0,
660060,2013-01-18,19,103501,4.0,
665015,2013-01-18,28,103501,2.0,
665751,2013-01-18,30,103501,4.0,
666316,2013-01-18,31,103501,4.0,
